control,k_remove,state_idx,n,agg_leverage_iso_mean,agg_leverage_iso_std,agg_leverage_task_mean,agg_leverage_task_std,base_E_iso_F_T_mean,base_E_iso_F_T_std,base_E_iso_F_TQ_mean,base_E_iso_F_TQ_std,base_E_iso_TQ_T_mean,base_E_iso_TQ_T_std,base_E_task_F_T_mean,base_E_task_F_T_std,base_E_task_F_TQ_mean,base_E_task_F_TQ_std,base_E_task_TQ_T_mean,base_E_task_TQ_T_std,base_pointwise_F_T_mean,base_pointwise_F_T_std,d_model_mean,d_model_std,d_x_mean,d_x_std,delta_E_iso_F_T_mean,delta_E_iso_F_T_std,delta_E_task_F_T_mean,delta_E_task_F_T_std,eps_mean,eps_std,k_remove_mean,k_remove_std,krr_err_inflation_mean,krr_err_inflation_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_ctx_mean,n_ctx_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,n_tgt_mean,n_tgt_std,pred_drift_mean,pred_drift_std,rank_Q_mean,rank_Q_std,sigma2_mean,sigma2_std,state_idx_mean,state_idx_std,surg_E_iso_F_T_mean,surg_E_iso_F_T_std,surg_E_iso_F_TQ_mean,surg_E_iso_F_TQ_std,surg_E_iso_damage_mean,surg_E_iso_damage_std,surg_E_task_F_T_mean,surg_E_task_F_T_std,surg_E_task_F_TQ_mean,surg_E_task_F_TQ_std,surg_E_task_damage_mean,surg_E_task_damage_std,surg_pointwise_F_T_mean,surg_pointwise_F_T_std
high_iso_low_task,1,8,1,0.19351892732825446,0.0,0.11249470542991453,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_iso_low_task,2,8,1,0.24495878948849914,0.0,0.170369129283048,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_iso_low_task,4,8,1,0.3022534509005457,0.0,0.2417419935761923,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_task,1,8,1,0.24842347214683133,0.0,0.6800642059132459,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_task,2,8,1,0.31162748689940795,0.0,0.7108638295956671,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_task,4,8,1,0.3632582084510658,0.0,0.751008869916773,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_variance_low_task,1,8,1,0.19351892732825446,0.0,0.11249470542991453,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_variance_low_task,2,8,1,0.24495878948849914,0.0,0.170369129283048,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
high_variance_low_task,4,8,1,0.3061156858881013,0.0,0.23009381530702194,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
low_task,1,8,1,0.0918007186951202,0.0,0.08919043355647194,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
low_task,2,8,1,0.21453151255727151,0.0,0.1442224907509349,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
low_task,4,8,1,0.26595131201719213,0.0,0.2222093540164413,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_A,1,8,1,0.17318706030894948,0.0,0.14179709960264436,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_A,2,8,1,0.43767679732332426,0.0,0.5402423144671586,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_A,4,8,1,0.43771155463456596,0.0,0.33849529140348483,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_Q,1,8,1,0.1412381013149182,0.0,0.1374196776933747,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_Q,2,8,1,0.28954851855727026,0.0,0.2170060012545373,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
random_Q,4,8,1,0.3488798356505187,0.0,0.7377124701909954,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.8638556221892895,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.5784612909991527,0.0,0.20338147006688534,0.0,128.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4.0,0.0,1.0,0.0,0.059705853325577415,0.0,0.05985089313319907,0.0,1.0024292393382397,0.0,47.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,8.0,0.0,0.32826152681260046,0.0,0.9592032925182111,0.0,0.0,0.0,0.17455288769374266,0.0,0.5926369855670658,0.0,0.0,0.0,0.20338147006688534,0.0
