checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,max_closure_mean,max_closure_std,max_refinement_mean,max_refinement_std,mean_closure_mean,mean_closure_std,mean_refinement_mean,mean_refinement_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,r_eff_T_task_mean,r_eff_T_task_std,smax_mean,smax_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std,suite_exp,suite_smax
H1,iso,16,45.0,0.0,0.5464410392098393,0.08423726477778906,0.6318381765213406,0.18189597415105824,0.20007541734502687,0.30834199774443055,0.015951267800132306,0.008191873886699558,0.8708372140247576,0.20201873421069946,0.6742191460590286,0.17220186897196077,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.6663316419556119,0.07505638052491795,0.9999778765346631,1.1052034733514974e-05,0.14333676649283555,0.01592829726139174,0.8629257059969279,0.006320911453805571,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.001,0.0,2a,1
H1,task,16,45.0,0.0,0.015498826476561861,0.0025506823671636787,0.15202335590796912,0.2110326106451912,0.14175824838053663,0.21843912857801015,0.015951267800132306,0.008191873886699558,0.9351711744281613,0.10138488911752218,0.93517328118095,0.10111961076149655,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.6663316419556119,0.07505638052491795,0.9999778765346631,1.1052034733514974e-05,0.14333676649283555,0.01592829726139174,0.8629257059969279,0.006320911453805571,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.001,0.0,2a,1
H2,iso,16,45.0,0.0,0.2607846029292878,0.07428443379621606,0.38539637660996967,0.20965330136922597,0.19063248609609817,0.29341242203849516,0.009640954953481433,0.005676767556971439,0.8829490839264633,0.1826238943022776,0.8242384138912064,0.17286063532198295,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.7056541393059086,0.03932285273756954,0.999961148989538,2.307203723430245e-05,0.1486734972920799,0.017802785377813404,0.8639787827428089,0.006298933688576199,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
H2,task,16,45.0,0.0,0.009334228782272656,0.0024015441167864987,0.12761515760306305,0.18451564810023335,0.12126841431946714,0.1887539331548686,0.009640954953481433,0.005676767556971439,0.9518926773621952,0.07779006643366015,0.9518175402041139,0.07781752860920874,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.7056541393059086,0.03932285273756954,0.999961148989538,2.307203723430245e-05,0.1486734972920799,0.017802785377813404,0.8639787827428089,0.006298933688576199,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
H8,iso,16,45.0,0.0,0.2720125841777433,0.051813566013006275,0.3454896866725672,0.18615115334353113,0.11807375160337806,0.25410493467591794,0.010369244936375418,0.004518387746898759,0.9255248537199646,0.16076199865527763,0.8614864542249852,0.15821042951106107,128.0,0.0,5.0,0.0,4.8125,0.4031128874149275,0.1023936170212766,0.008576869944998459,0.6582421740405807,0.06120075862678147,0.9999673183435247,2.342623543352382e-05,0.13711605364571516,0.02138027124900209,0.8679454747909457,0.00600020592336512,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
H8,task,16,45.0,0.0,0.009090269182886437,0.002215213128836753,0.07731111505535669,0.14752045880730924,0.0697824569564049,0.151033819430959,0.010369244936375418,0.004518387746898759,0.9737448950025205,0.057852530906883616,0.9736453134903289,0.05789883430823703,128.0,0.0,5.0,0.0,4.8125,0.4031128874149275,0.1023936170212766,0.008576869944998459,0.6582421740405807,0.06120075862678147,0.9999673183435247,2.342623543352382e-05,0.13711605364571516,0.02138027124900209,0.8679454747909457,0.00600020592336512,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
L12,iso,16,91.0,0.0,0.26500298618615303,0.07438832803081405,0.5488183617769228,0.24694827606425612,0.4567913434963329,0.3078411118365556,0.00918455573695948,0.004359062969506582,0.7024984027541871,0.2476951535052448,0.6638228345282415,0.2415001794992399,128.0,0.0,5.0,0.0,4.0625,0.6800735254367721,0.08643617021276596,0.014469649477378135,0.6487709961795212,0.06183188884514775,0.9999905240866753,5.48338663730816e-06,0.1556211609282298,0.04171833137195209,0.9086990672614275,0.0032432340323211547,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0,12.0,0.0,0.001,0.0,2a,1
L12,task,16,91.0,0.0,0.00930412023042281,0.002149683522800907,0.3647047135944351,0.23619769473112323,0.363216673854414,0.23963093440208125,0.00918455573695948,0.004359062969506582,0.8142395996572442,0.1552167297850268,0.8141665369242932,0.15518049589913602,128.0,0.0,5.0,0.0,4.0625,0.6800735254367721,0.08643617021276596,0.014469649477378135,0.6487709961795212,0.06183188884514775,0.9999905240866753,5.48338663730816e-06,0.1556211609282298,0.04171833137195209,0.9086990672614275,0.0032432340323211547,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0,12.0,0.0,0.001,0.0,2a,1
L2,iso,16,6.0,0.0,1.5261009894762854,0.4299306051042998,1.9077792153817819,0.5889953774357289,0.9870273062858425,0.8108494196576663,0.10387804376466968,0.04649495711528384,-0.5906073858749551,2.897996910406061,-0.30268767145268693,1.2384592611577572,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,0.6401480577905078,0.09783387601428759,0.9963493904174704,0.0058327899952454795,0.33361087402663775,0.06337742938662481,0.6099303934022668,0.025375618289316035,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
L2,task,16,6.0,0.0,0.19447347251380176,0.2000145711154363,0.19591930390905815,0.1998782061742073,0.02047854531712266,0.013583573351525898,0.10387804376466968,0.04649495711528384,0.9994076478082616,0.0008970335764005169,0.9515562242864762,0.1008938092890098,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,0.6401480577905078,0.09783387601428759,0.9963493904174704,0.0058327899952454795,0.33361087402663775,0.06337742938662481,0.6099303934022668,0.025375618289316035,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
L4,iso,16,15.0,0.0,0.4706562030803873,0.12215226555868954,0.47060730978462845,0.1221671771028645,0.0008166379591432668,0.0031968030956682956,0.027170855402517312,0.030300506932832136,0.9999897522742882,4.09859854901889e-05,0.8116771779731953,0.0802696768555318,128.0,0.0,5.0,0.0,5.25,0.6831300510639732,0.11170212765957446,0.014534681937531341,0.6619860134908492,0.060934180865019144,0.9999469892919598,2.4174922602315847e-05,0.21778232361456967,0.02226414572012129,0.7551838430142194,0.013466891035516524,0.011710062680361179,0.009500379844744772,0.05029880279179247,0.11293734761912474,3.8416397068923276,6.031821878842419,4.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.001,0.0,2a,1
L4,task,16,15.0,0.0,0.027902640979709514,0.02258899609484876,0.027905226669059174,0.022588642899463073,1.627571573156661e-05,6.323458442216425e-05,0.027170855402517312,0.030300506932832136,0.9999999959864018,1.605077638598343e-08,0.9986511825772388,0.003309777543119927,128.0,0.0,5.0,0.0,5.25,0.6831300510639732,0.11170212765957446,0.014534681937531341,0.6619860134908492,0.060934180865019144,0.9999469892919598,2.4174922602315847e-05,0.21778232361456967,0.02226414572012129,0.7551838430142194,0.013466891035516524,0.011710062680361179,0.009500379844744772,0.05029880279179247,0.11293734761912474,3.8416397068923276,6.031821878842419,4.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.001,0.0,2a,1
L6,iso,16,28.0,0.0,0.3443045520180901,0.0963519966814233,0.36606639234239274,0.16575938300587437,0.046367353683708604,0.1854694146442999,0.011087063331848565,0.00727646712336782,0.9656010962294701,0.1375956150821195,0.865228391259917,0.14217574222092588,128.0,0.0,5.0,0.0,4.9375,0.25,0.10505319148936171,0.0053191489361702135,0.6856868054646099,0.061979547549093114,0.9999408778864756,3.885711219401845e-05,0.16781642781739275,0.01816634536390072,0.8262230032712425,0.011386886414183058,0.012752882732199248,0.012209647616808332,0.020210127738426238,0.020086863674944975,6.0115845018113845,18.230854019810348,4.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.001,0.0,2a,1
L6,task,16,28.0,0.0,0.012843906389578476,0.004218717674376048,0.039899283517233965,0.11138168296970637,0.028836185514961022,0.11534474205631695,0.011087063331848565,0.00727646712336782,0.9866955904799375,0.05321763808025015,0.986542011648436,0.05321700786296885,128.0,0.0,5.0,0.0,4.9375,0.25,0.10505319148936171,0.0053191489361702135,0.6856868054646099,0.061979547549093114,0.9999408778864756,3.885711219401845e-05,0.16781642781739275,0.01816634536390072,0.8262230032712425,0.011386886414183058,0.012752882732199248,0.012209647616808332,0.020210127738426238,0.020086863674944975,6.0115845018113845,18.230854019810348,4.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.001,0.0,2a,1
L8,iso,16,45.0,0.0,0.29707037400716146,0.09567533841468505,0.46358363606477637,0.1944599459473306,0.27554653182655664,0.2887330358506145,0.011391414338171448,0.007374200335220182,0.8459177656816196,0.16796372157272355,0.771995136498987,0.16014264523014143,128.0,0.0,5.0,0.0,4.5,0.5163977794943222,0.09574468085106383,0.010987186797751538,0.6868435562130739,0.056699100688453935,0.9999610423713843,2.761369284169045e-05,0.1552362079886693,0.015108779892151612,0.8633245686676905,0.005787569246725169,0.012313823547966346,0.010858104951629938,0.01677376136750041,0.019058878593325255,1.358201977679538,0.467288511920284,4.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
L8,task,16,45.0,0.0,0.009723866568848449,0.004252938665760593,0.23128166875284453,0.23266668099493412,0.22618033271090277,0.23739835008232724,0.011391414338171448,0.007374200335220182,0.8960068540120453,0.11410684395527743,0.8957067022463405,0.11438828744101813,128.0,0.0,5.0,0.0,4.5,0.5163977794943222,0.09574468085106383,0.010987186797751538,0.6868435562130739,0.056699100688453935,0.9999610423713843,2.761369284169045e-05,0.1552362079886693,0.015108779892151612,0.8633245686676905,0.005787569246725169,0.012313823547966346,0.010858104951629938,0.01677376136750041,0.019058878593325255,1.358201977679538,0.467288511920284,4.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
H1,iso,16,90.0,0.0,0.5464410392098393,0.08423726477778906,0.5464410392071597,0.08423726477891508,7.221666972483385e-11,1.1810110300211074e-10,0.015951267800132306,0.008191873886699558,1.0,0.0,0.7669277132349721,0.05828408559540377,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41135955855734285,0.06799942524170541,0.9999919131206583,4.7112787824125936e-06,0.0637055730622,0.009508311586724045,0.884250261653323,0.0026378860619366254,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.001,0.0,2a,2
H1,task,16,90.0,0.0,0.015498826476561861,0.0025506823671636787,0.015498826476638389,0.0025506823672237396,1.5348675243549735e-12,2.221297112081492e-12,0.015951267800132306,0.008191873886699558,1.0,0.0,0.9997529271765311,8.234457959673692e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41135955855734285,0.06799942524170541,0.9999919131206583,4.7112787824125936e-06,0.0637055730622,0.009508311586724045,0.884250261653323,0.0026378860619366254,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.001,0.0,2a,2
H2,iso,16,90.0,0.0,0.2607846029292878,0.07428443379621606,0.26078460294183436,0.07428443380560552,2.1852647514314956e-10,5.79734119577414e-10,0.009640954953481433,0.005676767556971439,1.0,0.0,0.9327632645114646,0.03442581034746544,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.4687683618272118,0.052386154158030954,0.9999864440414521,4.7227418327171165e-06,0.07045675073524033,0.008237447729917524,0.8840993130040122,0.0026665637971949514,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.001,0.0,2a,2
H2,task,16,90.0,0.0,0.009334228782272656,0.0024015441167864987,0.009334228782758299,0.0024015441171933837,4.9355407618414045e-12,1.2676449897711955e-11,0.009640954953481433,0.005676767556971439,1.0,0.0,0.9999072540218981,4.727535032077001e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.4687683618272118,0.052386154158030954,0.9999864440414521,4.7227418327171165e-06,0.07045675073524033,0.008237447729917524,0.8840993130040122,0.0026665637971949514,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.001,0.0,2a,2
H8,iso,16,90.0,0.0,0.2720125841777433,0.051813566013006275,0.27201258417653384,0.051813566014063915,5.503647657052003e-11,9.362396616653749e-11,0.010369244936375418,0.004518387746898759,1.0,0.0,0.9289716138420365,0.026437795039326955,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41932492972479024,0.058868064174884535,0.9999899861263497,6.509699229748977e-06,0.06399133106335078,0.008702078150421115,0.8856829906962298,0.0016218315365080823,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0,0.001,0.0,2a,2
H8,task,16,90.0,0.0,0.009090269182886437,0.002215213128836753,0.009090269182874321,0.002215213128875633,1.1914511232781876e-12,1.6866734478292366e-12,0.010369244936375418,0.004518387746898759,1.0,0.0,0.9999127674531754,4.435639088098297e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41932492972479024,0.058868064174884535,0.9999899861263497,6.509699229748977e-06,0.06399133106335078,0.008702078150421115,0.8856829906962298,0.0016218315365080823,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0,0.001,0.0,2a,2
L12,iso,16,182.0,0.0,0.26500298618615303,0.07438832803081405,0.33904587756210147,0.18757397176601573,0.13591387315471234,0.24385548324142134,0.00918455573695948,0.004359062969506582,0.9257785159215067,0.1343763488577739,0.862765962726037,0.15050993230183735,128.0,0.0,5.0,0.0,4.75,0.4472135954999579,0.10106382978723405,0.00951518288297783,0.40794965735254674,0.07111822365910742,0.9999961049122632,2.5494584265759672e-06,0.05683369908780152,0.016568808290507664,0.9210344378317019,0.0012699525066097819,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.001,0.0,2a,2
L12,task,16,182.0,0.0,0.00930412023042281,0.002149683522800907,0.12027290735470662,0.2056260607437086,0.11350162170895241,0.20918067887623013,0.00918455573695948,0.004359062969506582,0.9460956102303701,0.10890244571901231,0.9458285692093871,0.10910844249565897,128.0,0.0,5.0,0.0,4.75,0.4472135954999579,0.10106382978723405,0.00951518288297783,0.40794965735254674,0.07111822365910742,0.9999961049122632,2.5494584265759672e-06,0.05683369908780152,0.016568808290507664,0.9210344378317019,0.0012699525066097819,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.001,0.0,2a,2
